zip_code,safmr,safmr_label,cost_sro,cost_0br,cost_1br,cost_2br,cost_3br,cost_4br,cost_5br,cost_6br,cost_7br,cost_8br
19120,1,Basic Rents,828,1104,1236,1476,1788,2064,2373,2683,2992,3302
19124,1,Basic Rents,828,1104,1236,1476,1788,2064,2373,2683,2992,3302
19126,1,Basic Rents,828,1104,1236,1476,1788,2064,2373,2683,2992,3302
19132,1,Basic Rents,828,1104,1236,1476,1788,2064,2373,2683,2992,3302
19133,1,Basic Rents,828,1104,1236,1476,1788,2064,2373,2683,2992,3302
19134,1,Basic Rents,828,1104,1236,1476,1788,2064,2373,2683,2992,3302
19136,1,Basic Rents,828,1104,1236,1476,1788,2064,2373,2683,2992,3302
19139,1,Basic Rents,828,1104,1236,1476,1788,2064,2373,2683,2992,3302
19140,1,Basic Rents,828,1104,1236,1476,1788,2064,2373,2683,2992,3302
19141,1,Basic Rents,828,1104,1236,1476,1788,2064,2373,2683,2992,3302
19142,1,Basic Rents,828,1104,1236,1476,1788,2064,2373,2683,2992,3302
19143,1,Basic Rents,828,1104,1236,1476,1788,2064,2373,2683,2992,3302
19151,1,Basic Rents,828,1104,1236,1476,1788,2064,2373,2683,2992,3302
19101,2,Traditional Rents,990,1320,1476,1764,2136,2460,2829,3198,3567,3936
19104,2,Traditional Rents,990,1320,1476,1764,2136,2460,2829,3198,3567,3936
19105,2,Traditional Rents,990,1320,1476,1764,2136,2460,2829,3198,3567,3936
19109,2,Traditional Rents,990,1320,1476,1764,2136,2460,2829,3198,3567,3936
19110,2,Traditional Rents,990,1320,1476,1764,2136,2460,2829,3198,3567,3936
19111,2,Traditional Rents,990,1320,1476,1764,2136,2460,2829,3198,3567,3936
19112,2,Traditional Rents,990,1320,1476,1764,2136,2460,2829,3198,3567,3936
19114,2,Traditional Rents,990,1320,1476,1764,2136,2460,2829,3198,3567,3936
19115,2,Traditional Rents,990,1320,1476,1764,2136,2460,2829,3198,3567,3936
19116,2,Traditional Rents,990,1320,1476,1764,2136,2460,2829,3198,3567,3936
19119,2,Traditional Rents,990,1320,1476,1764,2136,2460,2829,3198,3567,3936
19121,2,Traditional Rents,990,1320,1476,1764,2136,2460,2829,3198,3567,3936
19122,2,Traditional Rents,990,1320,1476,1764,2136,2460,2829,3198,3567,3936
19131,3,Mid Range Rents,1197,1596,1776,2124,2568,2964,3408,3853,4297,4742
19135,3,Mid Range Rents,1197,1596,1776,2124,2568,2964,3408,3853,4297,4742
19137,3,Mid Range Rents,1197,1596,1776,2124,2568,2964,3408,3853,4297,4742
19138,3,Mid Range Rents,1197,1596,1776,2124,2568,2964,3408,3853,4297,4742
19144,3,Mid Range Rents,1197,1596,1776,2124,2568,2964,3408,3853,4297,4742
19145,3,Mid Range Rents,1197,1596,1776,2124,2568,2964,3408,3853,4297,4742
19149,3,Mid Range Rents,1197,1596,1776,2124,2568,2964,3408,3853,4297,4742
19150,3,Mid Range Rents,1197,1596,1776,2124,2568,2964,3408,3853,4297,4742
19152,3,Mid Range Rents,1197,1596,1776,2124,2568,2964,3408,3853,4297,4742
19118,4,Opportunity Rents,1449,1932,2160,2580,3120,3600,4140,4680,5220,5760
19127,4,Opportunity Rents,1449,1932,2160,2580,3120,3600,4140,4680,5220,5760
19146,4,Opportunity Rents,1449,1932,2160,2580,3120,3600,4140,4680,5220,5760
19147,4,Opportunity Rents,1449,1932,2160,2580,3120,3600,4140,4680,5220,5760
19102,5,High Opportunity Rents,1584,2112,2352,2820,3408,3936,4526,5116,5707,6297
19103,5,High Opportunity Rents,1584,2112,2352,2820,3408,3936,4526,5116,5707,6297
19106,5,High Opportunity Rents,1584,2112,2352,2820,3408,3936,4526,5116,5707,6297
19107,5,High Opportunity Rents,1584,2112,2352,2820,3408,3936,4526,5116,5707,6297
19123,5,High Opportunity Rents,1584,2112,2352,2820,3408,3936,4526,5116,5707,6297
19130,5,High Opportunity Rents,1584,2112,2352,2820,3408,3936,4526,5116,5707,6297
